stop_id,lat,lon,display_name
442,49.154328,6.153073,LADONCHAMPS
441,49.154064,6.152506,LADONCHAMPS
112,49.107800,6.172740,LAFAYETTE
91,49.108030,6.172980,LAFAYETTE
623,49.168601,6.189448,LA<br>MAXE
621,49.168728,6.189421,LA<br>MAXE
972,49.053990,6.275650,LANCEUMONT
988,49.054228,6.275283,LANCEUMONT
905,49.054191,6.274581,LANCEUMONT
794,49.078280,6.315940,LAQUENEXY
817,49.078440,6.315411,LAQUENEXY
220,49.123808,6.149309,LARDEMELLE
557,49.124130,6.149947,LARDEMELLE
5030,49.062854,6.146246,LARGANTIER
5006,49.062189,6.146438,LARGANTIER
736,49.116189,6.097919,LASSAUX
718,49.116286,6.097992,LASSAUX
951,49.124040,6.260030,LAUVALLIERES
959,49.148355,6.124134,LAVANDIERES
960,49.148355,6.124134,LAVANDIERES
137,49.097385,6.174626,LAVOIR
243,49.096835,6.175178,LAVOIR
211,49.111108,6.130608,LECLERC
272,49.110796,6.129704,LECLERC
6170,49.111705,6.192059,HOPITAL<br>LEGOUEST
6175,49.111845,6.192939,HOPITAL<br>LEGOUEST
545,49.096410,6.238379,LE<br>LAC
412,49.131490,6.156323,LE<br>MOYNE
397,49.131289,6.156678,LE<br>MOYNE
2580,49.104134,6.179665,LEMUD
2330,49.104250,6.179548,LEMUD
635,49.156248,6.140034,LE<br>PATIS
5032,49.073839,6.147819,LES<br>CLOS
5004,49.072923,6.148046,LES<br>CLOS
788,49.120911,6.094850,LESSY
716,49.120919,6.094679,LESSY
703,49.061254,6.118142,LIBERATION
710,49.061254,6.117849,LIBERATION
282,49.107419,6.116081,LIBERTE
274,49.107597,6.116957,LIBERTE
3007,49.095588,6.143667,LILAS
3000,49.095687,6.143521,LILAS
61,49.099976,6.152631,LITALDUS-HOTEL<br>DE<br>VILLE
42,49.099441,6.151063,LITALDUS-HOTEL<br>DE<br>VILLE
434,49.129950,6.237470,LES<br>MOULINS
433,49.130000,6.237770,LES<br>MOULINS
516,49.098781,6.159231,LOGES
510,49.099049,6.158200,LOGES
212,49.112409,6.134323,LONGEVILLE
271,49.112725,6.135222,LONGEVILLE
379,49.122467,6.224792,LORIENT
377,49.122632,6.225374,LORIENT
84,49.102709,6.109166,LORRAINE
818,49.101199,6.108043,LORRAINE
724,49.141782,6.118452,LORRY<br>GRAND<br>RUE
731,49.141784,6.118315,LORRY<br>GRAND<br>RUE
256,49.099271,6.180423,LOTHAIRE
235,49.099576,6.180356,LOTHAIRE
692,49.100328,6.180862,LOTHAIRE
693,49.100333,6.181056,LOTHAIRE
78,49.089203,6.123365,LOTISSEMENT<br>INDUSTRIEL
74,49.089741,6.124332,LOTISSEMENT<br>INDUSTRIEL
704,49.064045,6.116576,LOTISSEMENT
709,49.063500,6.116390,LOTISSEMENT
850,49.085306,6.148632,LUETTE
851,49.085376,6.148345,LUETTE
6110,49.121245,6.168918,SQUARE<br>DU<br>LUXEMBOURG
6115,49.121246,6.168921,SQUARE<br>DU<br>LUXEMBOURG
104,49.093500,6.167980,LYAUTEY
656,49.093940,6.168179,LYAUTEY
99,49.093910,6.167520,LYAUTEY
773,49.103290,6.177680,LYCEE<br>FOURNIER
775,49.103270,6.177670,LYCEE<br>FOURNIER
9,49.073842,6.186419,MAGNY<br>PAUL<br>VERLAINE
246,49.075206,6.194991,MAGNY-AU-BOIS
581,49.075410,6.195379,MAGNY-AU-BOIS
779,49.050101,6.184511,MAHIRE
772,49.124955,6.017008,MALMAISON
768,49.125027,6.016890,MALMAISON
489,49.127813,6.225469,MY<br>MANGENOT
486,49.127912,6.225781,MY<br>MANGENOT
109,49.102880,6.164599,MANGIN
94,49.102570,6.164369,MANGIN
63,49.100588,6.217791,MARCONI
40,49.100592,6.217981,MARCONI
927,49.089355,6.159382,MARC<br>SANGNIER
930,49.089247,6.159298,MARC<br>SANGNIER
547,49.088292,6.159708,MARGUERITE
540,49.088491,6.159318,MARGUERITE
843,48.998825,6.100303,MARIEULLES
5019,49.061007,6.166711,MARLY
7,49.061007,6.166711,MARLY
304,49.126698,6.154243,MARNE
222,49.126760,6.154310,MARNE
603,49.134239,6.215401,MARRONNIERS
5045,49.134319,6.215283,MARRONNIERS
935,49.203537,6.046659,MASARIEULLES
936,49.203421,6.046497,MASARIEULLES
748,49.130196,6.275761,MAS<br>AU<br>LIEVRE
861,49.130289,6.275718,MAS<br>AU<br>LIEVRE
6370,49.082090,6.238732,MATERNITE
6375,49.082161,6.239011,MATERNITE
383,49.120179,6.214947,MAUJEAN
373,49.120197,6.214533,MAUJEAN
888,49.114125,6.182420,MAZELLE
198,49.114951,6.184847,MAZELLE
974,49.042400,6.268120,MECLEUVES
986,49.042250,6.268461,MECLEUVES
607,49.128165,6.203304,MELEZES
599,49.127850,6.203633,MELEZES
6360,49.084587,6.242098,HOPITAL<br>MERCY
6365,49.084587,6.242099,HOPITAL<br>MERCY
360,49.093544,6.151580,MERMOZ
355,49.093986,6.152085,MERMOZ
384,49.120046,6.208878,METMAN
372,49.120111,6.209556,METMAN
682,49.107053,6.231395,METZANINE
681,49.106729,6.231413,METZANINE
3005,49.101675,6.155199,MEURISSE
3012,49.102196,6.156036,MEURISSE
563,49.133960,6.237639,MEY<br>LES<br>VIGNES
6260,49.107653,6.228691,JULES<br>MICHELET
6265,49.107653,6.228691,JULES<br>MICHELET
5017,49.059365,6.169093,MICHEL<br>ANGE
213,49.114136,6.139048,MIGETTE
270,49.113966,6.138610,MIGETTE
941,49.198097,6.034813,MINE
940,49.198009,6.034932,MINE
422,49.131199,6.145880,MIRABELLES
416,49.130667,6.145525,MIRABELLES
380,49.110280,6.091201,MAISON<br>NEUVE
868,49.110280,6.091201,MAISON<br>NEUVE
328,49.129188,6.127607,MOMENE
667,49.112139,6.095168,MOULIN<br>NEUF
312,49.112319,6.095103,MOULIN<br>NEUF
804,49.184845,6.044487,ST-PRIVAT-LA-MONTAGNE
833,49.158622,6.106141,ST-PRIVAT-LA-MONTAGNE
160,49.141124,6.150791,MORLOT
158,49.141084,6.150367,MORLOT
275,49.106477,6.111286,MOULINS
281,49.106440,6.111200,MOULINS
86,49.105475,6.110561,MOULINS
85,49.106994,6.106338,MOULINS<br>MAIRIE
998,49.119814,6.171282,MOYEN<br>PONT
